민방위대피시설명,민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,관리기관명,데이터기준일자
8호선 송파역,8호선 송파역,서울특별시 송파구 송파대로 지하 354 (가락동),,37.49968613,127.1121799,4752,5760,Y,서울특별시 송파구청,2021-09-14
시그마타워,시그마타워,"서울특별시 송파구 올림픽로 289 (신천동, 잠실시그마타워)",,37.51461555,127.1025244,11343,13749,Y,서울특별시 송파구청,2021-09-14
월드타워,월드타워,"서울특별시 송파구 송파대로 558 (신천동, 월드타워빌딩)",,37.51509368,127.0997108,10285,12466,Y,서울특별시 송파구청,2021-09-14
현대타워,현대타워,"서울특별시 송파구 올림픽로 293-19 (신천동, 현대타워아파트)",,37.51512375,127.1024799,9509,11526,Y,서울특별시 송파구청,2021-09-14
8호선 잠실역,8호선 잠실역,"서울특별시 송파구 올림픽로 305 (신천동, 잠실역8호선)",,37.51497807,127.1042171,2558,3100,Y,서울특별시 송파구청,2021-09-14
마천삼익아파트,마천삼익아파트,"서울특별시 송파구 성내천로 236 (마천동, 마천동삼익아파트)",,37.49900519,127.1536324,4101,4970,Y,서울특별시 송파구청,2021-09-14
건영아파트 지하주차장,건영아파트 지하주차장,"서울특별시 송파구 새말로8길 12 (문정동, 건영아파트)",,37.48135315,127.1257877,2158,2615,Y,서울특별시 송파구청,2021-09-14
송파2동 현대아파트,송파2동 현대아파트,"서울특별시 송파구 오금로32길 42, 지층 (송파동, 현대아파트)",,37.50336407,127.1176999,9900,12000,Y,서울특별시 송파구청,2021-09-14
현대그린빌아파트,현대그린빌아파트,"서울특별시 송파구 마천로 315 (마천동, 현대그린빌)",,37.49516673,127.1509739,8633,10464,Y,서울특별시 송파구청,2021-09-14
마천금호아파트,마천금호아파트,"서울특별시 송파구 마천로57길 16 (마천동, 마천금호아파트)",,37.49468791,127.1533703,455,551,Y,서울특별시 송파구청,2021-09-14
8호선 문정역,8호선 문정역,서울특별시 송파구 송파대로 지하 179 (문정동),,37.48626191,127.1222908,6600,8000,Y,서울특별시 송파구청,2021-09-14
문정동아아파트 지하주차장,문정동아아파트 지하주차장,"서울특별시 송파구 문정로5길 13 (문정동, 문정동아아파트)",,37.48765368,127.1285029,1650,2000,Y,서울특별시 송파구청,2021-09-14
한보아파트,한보아파트,"서울특별시 송파구 마천로51길 25 (마천동, 한보아파트)",,37.49734599,127.1518875,1267,1535,Y,서울특별시 송파구청,2021-09-14
우성2차아파트 지하주차장,우성2차아파트 지하주차장,"서울특별시 송파구 중대로12길 35 (가락동, 가락우성2차아파트)",,37.49201421,127.1254709,660,800,Y,서울특별시 송파구청,2021-09-14
가락금호아파트 지하주차장,가락금호아파트 지하주차장,"서울특별시 송파구 송파대로32길 15 (가락동, 가락금호아파트)",,37.49658322,127.1157578,3940,4775,Y,서울특별시 송파구청,2021-09-14
8호선 장지역,8호선 장지역,"서울특별시 송파구 송파대로 지하 82 (장지동, 장지역)",,37.47811966,127.1264244,5363,6500,Y,서울특별시 송파구청,2021-09-14
잠실역 환승주차장,잠실역 환승주차장,서울특별시 송파구 올림픽로 305 (신천동),,37.51497807,127.1042171,4508,5464,Y,서울특별시 송파구청,2021-09-14
거여1단지아파트,거여1단지아파트,"서울특별시 송파구 양산로8길 4 (거여동, 거여1단지아파트)",,37.49181612,127.1442956,5200,6303,Y,서울특별시 송파구청,2021-09-14
거여2단지아파트,거여2단지아파트,서울특별시 송파구 양산로8길 24 (거여동),,37.48964721,127.1466434,3200,3878,Y,서울특별시 송파구청,2021-09-14
거여4단지아파트,거여4단지아파트,서울특별시 송파구 양산로4길 8 (거여동),,37.48958633,127.1433913,7032,8523,Y,서울특별시 송파구청,2021-09-14
거여5단지아파트,거여5단지아파트,서울특별시 송파구 양산로4길 16 (거여동),,37.48920959,127.1449645,2396,2904,Y,서울특별시 송파구청,2021-09-14
거여6단지아파트,거여6단지아파트,서울특별시 송파구 양산로2길 38 (거여동),,37.48846565,127.1461888,2614,3168,Y,서울특별시 송파구청,2021-09-14
문정1차푸르지오아파트 지하주차장,문정1차푸르지오아파트 지하주차장,"서울특별시 송파구 문정로 55 (문정동, 문정푸르지오아파트)",,37.48677892,127.1275697,7930,9612,Y,서울특별시 송파구청,2021-09-14
천호역승강장,천호역승강장,"서울특별시 강동구 천호대로 지하 997 (천호동, 천호역)",,37.53857988,127.123743,990,1200,Y,서울특별시 송파구청,2021-09-14
가락2차 쌍용아파트 지하주차장,가락2차 쌍용아파트 지하주차장,"서울특별시 송파구 송이로15길 33 (가락동, 가락2차쌍용아파트)",,37.50115698,127.1226543,1948,2361,Y,서울특별시 송파구청,2021-09-14
석촌역,석촌역,"서울특별시 송파구 송파대로 지하 439 (석촌동, 석촌역)",,37.50594811,127.1063443,4736,5740,Y,서울특별시 송파구청,2021-09-14
5호선 방이역,5호선 방이역,서울특별시 송파구 양재대로 지하 1127 (방이동),,37.50855626,127.1258559,4785,5800,Y,서울특별시 송파구청,2021-09-14
거여1동주민센터,거여1동주민센터,"서울특별시 송파구 오금로53길 32 (거여동, 거여1동주민센터)",,37.49693865,127.1433058,264,320,Y,서울특별시 송파구청,2021-09-14
거여1동 현대3차아파트,거여1동 현대3차아파트,"서울특별시 송파구 거마로 43 (거여동, 현대3차아파트)",,37.49686367,127.1456714,1980,2400,Y,서울특별시 송파구청,2021-09-14
거여역,거여역,"서울특별시 송파구 오금로 지하 499 (거여동, 거여역)",,37.4932076,127.1440314,7388,8955,Y,서울특별시 송파구청,2021-09-14
성영아파트 지하주차장,성영아파트 지하주차장,"서울특별시 송파구 마천로35길 6 (마천동, 성영아파트)",,37.49970788,127.1451612,1868,2264,Y,서울특별시 송파구청,2021-09-14
남양빌딩 지하주차장,남양빌딩 지하주차장,"서울특별시 송파구 백제고분로 232 (삼전동, 남양빌딩)",,37.50288224,127.0921082,1095,1327,Y,서울특별시 송파구청,2021-09-14
문정푸르지오2차아파트 지하주차장,문정푸르지오2차아파트 지하주차장,"서울특별시 송파구 송이로32길 37 (문정동, 문정푸르지오아파트)",,37.48700275,127.1272083,3960,4800,Y,서울특별시 송파구청,2021-09-14
마천금호어울림1차아파트 지하주차장,마천금호어울림1차아파트 지하주차장,"서울특별시 송파구 성내천로21길 12 (마천동, 신동아아파트)",,37.50043279,127.1447465,4649,5635,Y,서울특별시 송파구청,2021-09-14
올림픽 선수 기자촌 아파트 지하주차장,올림픽 선수 기자촌 아파트 지하주차장,"서울특별시 송파구 중대로25길 5 (오금동, 오금동주민센터)",,37.50298927,127.1280813,264,320,Y,서울특별시 송파구청,2021-09-14
오금역,오금역,"서울특별시 송파구 오금로 지하 321 (오금동, 오금역)",,37.50226508,127.1278811,7781,9431,Y,서울특별시 송파구청,2021-09-14
개롱역,개롱역,"서울특별시 송파구 오금로 지하 402 (오금동, 오금역)",,37.49781321,127.1351607,7167,8687,Y,서울특별시 송파구청,2021-09-14
보인고등학교,보인고등학교,"서울특별시 송파구 오금로49길 18 (오금동, 보인중고등학교)",,37.49757028,127.1395164,547,663,Y,서울특별시 송파구청,2021-09-14
현대아파트 중앙아케이드 상가,현대아파트 중앙아케이드 상가,"서울특별시 송파구 오금로35길 17 (오금동, 현대아파트)",,37.50639584,127.1273633,12870,15600,Y,서울특별시 송파구청,2021-09-14
송파도서관,송파도서관,"서울특별시 송파구 동남로 263 (오금동, 송파도서관)",,37.499994,127.1348525,544,659,Y,서울특별시 송파구청,2021-09-14
서울곰두리체육센터,서울곰두리체육센터,"서울특별시 송파구 동남로 271 (오금동, 서울곰두리체육센터)",,37.50049066,127.1354551,858,1040,Y,서울특별시 송파구청,2021-09-14
8호선 몽촌토성역,8호선 몽촌토성역,"서울특별시 송파구 올림픽로 지하 383 (신천동, 몽촌토성역)",,37.51762309,127.1124284,10160,12315,Y,서울특별시 송파구청,2021-09-14
올림픽베어스타운,올림픽베어스타운,"서울특별시 송파구 위례성대로 58 (방이동, 올림픽베어스타운)",,37.51476216,127.1191204,3520,4266,Y,서울특별시 송파구청,2021-09-14
마천금호어울림1차아파트 지하주차장,마천금호어울림1차아파트 지하주차장,"서울특별시 송파구 성내천로 245(마천동, 마천금호어울림1차아파트 지하주차장)",,37.4986437,127.154464,7613,9227,Y,서울특별시 송파구청,2021-09-14
우방아파트 지하주차장,우방아파트 지하주차장,"서울특별시 송파구 성내천로 211 (마천동, 우방아파트)",,37.50002356,127.1520603,8655,10490,Y,서울특별시 송파구청,2021-09-14
영빌딩 지하주차장,영빌딩 지하주차장,"서울특별시 송파구 송파대로 422 (송파동, 영빌딩)",,37.50500237,127.1079897,696,843,Y,서울특별시 송파구청,2021-09-14
호수임광아파트 지하주차장,호수임광아파트 지하주차장,"서울특별시 송파구 송파대로48길 29 (송파동, 호수임광아파트)",,37.5103443,127.1071378,2343,2840,Y,서울특별시 송파구청,2021-09-14
황제빌딩 지하주차장,황제빌딩 지하주차장,서울특별시 송파구 백제고분로 393 (송파동),,37.50675304,127.1089468,396,480,Y,서울특별시 송파구청,2021-09-14
동원빌딩 지하 서울구국기도원,동원빌딩 지하 서울구국기도원,"서울특별시 송파구 가락로 151 (송파동, 동원빌딩)",,37.50300189,127.112117,1326,1607,Y,서울특별시 송파구청,2021-09-14
송파여성문화회관 지하주차장,송파여성문화회관 지하주차장,"서울특별시 송파구 백제고분로42길 5 (송파동, 송파여성문화회관)",,37.5059306,127.1097327,10926,13243,Y,서울특별시 송파구청,2021-09-14
올림픽 프라자 상가 지하,올림픽 프라자 상가 지하,"서울특별시 송파구 양재대로 1222 (방이동, 올림픽프라자)",,37.5157262,127.1310621,5880,7127,Y,서울특별시 송파구청,2021-09-14
올림픽 선수 기자촌 아파트 지하주차장,올림픽 선수 기자촌 아파트 지하주차장,"서울특별시 송파구 양재대로 1218 (방이동, 올림픽선수기자촌아파트 지하주차장)",,37.51669171,127.1377105,21938,26591,Y,서울특별시 송파구청,2021-09-14
씨티극동아파트 지하주차장,씨티극동아파트 지하주차장,"서울특별시 송파구 한가람로 478 (풍납동, 씨티극동아파트)",,37.53973553,127.1179064,6569,7962,Y,서울특별시 송파구청,2021-09-14
레이크팰리스아파트 지하주차장,레이크팰리스아파트 지하주차장,"서울특별시 송파구 잠실로 88 (잠실동, 레이크팰리스)",,37.50753416,127.0932133,13136,15922,Y,서울특별시 송파구청,2021-09-14
트리지움아파트 지하주차장,트리지움아파트 지하주차장,"서울특별시 송파구 잠실로 62 (잠실동, 트리지움)",,37.5080014,127.0902235,18182,22038,Y,서울특별시 송파구청,2021-09-14
갤러리아팰리스아파트 지하주차장,갤러리아팰리스아파트 지하주차장,"서울특별시 송파구 올림픽로 212 (잠실동, 갤러리아팰리스)",,37.5106905,127.094199,3758,4555,Y,서울특별시 송파구청,2021-09-14
신구블레스 밸리아파트,신구블레스 밸리아파트,"서울특별시 송파구 위례성대로12길 25 (방이동, 신구블레스밸리아파트)",,37.51126984,127.1226709,6617,8020,Y,서울특별시 송파구청,2021-09-14
옥산크리스탈아파트,옥산크리스탈아파트,"서울특별시 송파구 위례성대로14길 11 (방이동, 옥산크리스탈아파트)",,37.51221314,127.1235773,2343,2840,Y,서울특별시 송파구청,2021-09-14
한솔아파트 지하주차장,한솔아파트 지하주차장,"서울특별시 송파구 백제고분로 348 (석촌동, 잠실한솔아파트)",,37.50408224,127.1052198,1556,1886,Y,서울특별시 송파구청,2021-09-14
어울림아파트,어울림아파트,"서울특별시 송파구 오금로56길 28 (거여동, 어울림아파트)",,37.4923654,127.1430935,6507,7887,Y,서울특별시 송파구청,2021-09-14
송파노인종합복지관 지하 대강당,송파노인종합복지관 지하 대강당,"서울특별시 송파구 백제고분로32길 41 (삼전동, 송파노인종합복지관 지하대강당)",,37.49866693,127.0948941,1644,1992,Y,서울특별시 송파구청,2021-09-14
가락 ID 타워,가락 ID 타워,"서울특별시 송파구 중대로 105 (가락동, 가락 ID TOWER)",,37.49358759,127.1200547,4622,5602,Y,서울특별시 송파구청,2021-09-14
가락 스타클래스,가락 스타클래스,"서울특별시 송파구 오금로 306 (가락동, 가락스타클래스)",,37.50287606,127.1261133,4070,4933,Y,서울특별시 송파구청,2021-09-14
송파동부센트레빌 아파트 지하주차장,송파동부센트레빌 아파트 지하주차장,"서울특별시 송파구 송파대로37길 29 (가락동, 송파 동부센트레빌)",,37.5003995,127.1085711,6973,8452,Y,서울특별시 송파구청,2021-09-14
가락쌍용1차아파트,가락쌍용1차아파트,"서울특별시 송파구 동남로 193 (가락동, 가락쌍용아파트)",,37.49469877,127.1292251,8177,9911,Y,서울특별시 송파구청,2021-09-14
잠실교회 별관,잠실교회 별관,"서울특별시 송파구 동남로16길 5 (가락동, 잠실교회 제2성전)",,37.4945558,127.1314096,3056,3704,Y,서울특별시 송파구청,2021-09-14
문정래미안아파트 지하주차장,문정래미안아파트 지하주차장,"서울특별시 송파구 문정로 83 (문정동, 문정래미안아파트)",,37.48920513,127.1302333,6716,8140,Y,서울특별시 송파구청,2021-09-14
문정프라자 지하주차장,문정프라자 지하주차장,"서울특별시 송파구 중대로 80 (문정동, 문정프라자)",,37.49176258,127.1178445,37360,45284,Y,서울특별시 송파구청,2021-09-14
세계로교회,세계로교회,"서울특별시 송파구 마천로61바길 31-1 (마천동, 마천중앙교회)",,37.49627162,127.1521794,2992,3626,Y,서울특별시 송파구청,2021-09-14
엘스아파트 지하주차장,엘스아파트 지하주차장,"서울특별시 송파구 올림픽로 99 (잠실동, 잠실엘스)",,37.51512435,127.078129,22485,27254,Y,서울특별시 송파구청,2021-09-14
리센츠아파트 지하주차장,리센츠아파트 지하주차장,"서울특별시 송파구 올림픽로 135 (잠실동, 리센츠)",,37.51673418,127.0898901,22026,26698,Y,서울특별시 송파구청,2021-09-14
석촌씨티빌딩,석촌씨티빌딩,"서울특별시 송파구 오금로 113 (방이동, 석촌씨티빌딩)",,37.51217021,127.1085836,2513,3046,Y,서울특별시 송파구청,2021-09-14
방이1동주민센터 지하1층,방이1동주민센터 지하1층,"서울특별시 송파구 위례성대로16길 22 (방이동, 방이1동주민센터)",,37.51097662,127.1239055,315,381,Y,서울특별시 송파구청,2021-09-14
송파1동주민센터 지하 다목적실,송파1동주민센터 지하 다목적실,"서울특별시 송파구 백제고분로 392 (송파동, 송파1동주민센터)",,37.50626256,127.1093125,403,488,Y,서울특별시 송파구청,2021-09-14
파크리오아파트,파크리오아파트,"서울특별시 송파구 올림픽로 435 (신천동, 파크리오)",,37.52136011,127.1049725,27181,32946,Y,서울특별시 송파구청,2021-09-14
삼전종합사회복지관 지하 강당,삼전종합사회복지관 지하 강당,"서울특별시 송파구 백제고분로32길 35 (삼전동, 삼전종합사회복지관 지하 강당)",,37.49923267,127.0950079,150,181,Y,서울특별시 송파구청,2021-09-14
배명고등학교 체육관 지하,배명고등학교 체육관 지하,"서울특별시 송파구 삼학사로 11 (삼전동, 배명중고등학교)",,37.4976895,127.0958111,1916,2322,Y,서울특별시 송파구청,2021-09-14
경찰병원역,경찰병원역,"서울특별시 송파구 중대로 지하 149 (가락동, 경찰병원역)",,37.4956017,127.1240656,9705,11763,Y,서울특별시 송파구청,2021-09-14
문정근린공원 공영주차장,문정근린공원 공영주차장,서울특별시 송파구 문정로 지하 12 (문정동),,37.48595029,127.1238958,9835,11921,Y,서울특별시 송파구청,2021-09-14
방이코오롱아파트,방이코오롱아파트,"서울특별시 송파구 오금로31길 28 (방이동, 코오롱아파트)",,37.50888593,127.1242504,4559,5526,Y,서울특별시 송파구청,2021-09-14
가락시장역,가락시장역,서울특별시 송파구 송파대로 지하 257 (가락동),,37.49274223,127.1184838,25687,31135,Y,서울특별시 송파구청,2021-09-14
산림조합중앙회 지하 주차장,산림조합중앙회 지하 주차장,"서울특별시 송파구 석촌호수로 166 (삼전동, 산림조합중앙회)",,37.50659902,127.0953429,1958,2373,Y,서울특별시 송파구청,2021-09-14
