민방위대피시설명,위도,경도,민방위대피시설면적,대피가능인원수,카운트
송파1동주민센터 지하 다목적실,37.50626256,127.1093125,403,488,441.0
파크리오아파트,37.52136011,127.1049725,27181,32946,14856.0
삼전종합사회복지관 지하 강당,37.49923267,127.0950079,150,181,2295.0
배명고등학교 체육관 지하,37.4976895,127.0958111,1916,2322,4276.0
경찰병원역,37.4956017,127.1240656,9705,11763,3425.0
문정근린공원 공영주차장,37.48595029,127.1238958,9835,11921,1612.0
방이코오롱아파트,37.50888593,127.1242504,4559,5526,2394.0
가락시장역,37.49274223,127.1184838,25687,31135,1525.0
산림조합중앙회 지하 주차장,37.50659902,127.0953429,1958,2373,5470.0
신원빌딩 지하주차장,37.50719681,127.0913852,398,482,2018.0
송파파크데일1단지,37.49878666,127.1581012,3216,3898,4191.0
송파파크데일2단지,37.49633944,127.1581639,3520,4266,7870.0
가든파이브 라이프관,37.47761304,127.1249629,37700,45696,11490.0
위례송파푸르지오 지하주차장,37.48020939,127.13976,2174,2635,3823.0
위례22단지 지하주차장,37.4796693,127.1393248,4510,5466,2216.0
위례24단지 지하주차장,37.47686666,127.1382162,7168,8688,7707.0
서울동부지방법원,37.48349301,127.1197536,1651,2001,9954.0
위례동주민센터 지하주차장,37.48116665,127.143936,394,477,8066.0
9호선 삼전역,37.50432331,127.0880838,8644,10477,6027.0
석촌고분역,37.50246395,127.0968848,6841,8292,9085.0
한성백제역,37.5163401,127.116114,8969,10871,2402.0
송파나루역,37.51035038,127.112232,7833,9494,6477.0
헬리오시티 지하주차장,37.49761178,127.1025328,507732,615432,13356.0
